,title,recommended_movies
2965,The World Is Not Enough,"['Thunderball', 'Never Say Never Again', 'Children of the Damned', 'The Soldier', 'The Stars Fell on Henrietta']"
2966,All About My Mother,"['Character', ""That's Life!"", 'Oedipus Rex', 'A Family Thing', ""Child's Play""]"
2967,Home Page,"['Document of the Dead', 'Life and Debt', ""It's All True"", 'The State of Things', 'Easy Riders, Raging Bulls']"
2968,The Living Dead Girl,"['Vampyros Lesbos', 'The Cabinet of Dr. Ramirez', 'Dracula Has Risen from the Grave', 'Dracula: Prince of Darkness', 'The Addiction']"
2969,Babes in Toyland,"['The Thin Man Goes Home', '...All the Marbles', 'Father of the Bride', ""Daddy's Dyin'... Who's Got the Will?"", 'Love Crazy']"
2970,Scrooged,"['Scrooge', 'A Christmas Carol', 'The Muppet Christmas Carol', 'South of Heaven, West of Hell', 'The Family Man']"
2971,Harvey,"['Snow days', 'College', 'Romance', 'One Crazy Summer', ""The Courtship of Eddie's Father""]"
2972,Bicycle Thieves,"['Beijing Bicycle', 'Crane World', 'Heist', 'Caligula', 'Honeysuckle Rose']"
2973,Matewan,"['Norma Rae', 'Went to Coney Island on a Mission from God... Be Back by Five', 'Cockfighter', 'Kafka', 'The Proprietor']"
2974,Kagemusha,"['The Human Condition II: Road to Eternity', 'Mirror', 'The Last Emperor', 'Ugetsu', 'Samurai I: Musashi Miyamoto']"
2975,47 Samurai,"['The 47 Ronin', 'Harakiri', 'Yojimbo', 'Samurai I: Musashi Miyamoto', 'Sanjuro']"
2976,McCabe & Mrs. Miller,"['Support Your Local Gunfighter', 'Blazing Saddles', 'A Boy Called Hate', 'Smashing Time', 'Calamity Jane']"
2977,Maurice,"['Get Real', 'The Young Philadelphians', 'All the Mornings of the World', 'Benji: Off the Leash!', 'The Shipping News']"
2978,The Grapes of Wrath,"['Unstrung Heroes', 'Carried Away', 'The Hired Hand', 'Song of the South', 'The Hanging Garden']"
2979,My Man Godfrey,"['My Man Godfrey', 'How to Get Ahead in Advertising', 'Harry and Tonto', 'Little Miss Marker', 'American Me']"
2980,The Shop Around the Corner,"['Bandits', 'The Clock', 'I Love You Again', 'Johnny Eager', 'Double Wedding']"
2981,The Natural,"['Talent for the Game', 'The Pride of the Yankees', 'The Bad News Bears Go to Japan', 'The Bad News Bears', 'A League of Their Own']"
2982,Shampoo,"['The Diaries of Vaslav Nijinsky', 'Honeysuckle Rose', 'About Schmidt', 'How to Get Ahead in Advertising', 'Raining Stones']"
2983,A River Runs Through It,"['Possible Loves', 'The Loss of Sexual Innocence', 'How I Killed My Father', 'Lackawanna Blues', 'The Long Gray Line']"
2984,Fatal Attraction,"['The Girl', 'The Temp', 'Poison Ivy: The New Seduction', 'Unbreakable', 'Stir of Echoes']"
2985,Jagged Edge,"['A Time to Kill', 'Music Box', 'Presumed Innocent', 'The Paradine Case', 'Dial M for Murder']"
2986,Stanley & Iris,"['The Merry Widow', 'I Love You Again', 'Be Cool', '...All the Marbles', 'The Rose Tattoo']"
2987,Midnight Run,"['Bird on a Wire', 'The Wrong Box', 'Mickey Blue Eyes', 'Office Space', ""L'associé""]"
2988,Awakenings,"['The Men', 'The Hospital', 'Coma', 'Dragonfly', 'The Doctor']"
2989,Come See the Paradise,"['Midway', 'Dil Se..', 'Zebrahead', 'The World of Suzie Wong', 'The Quiet American']"
2990,Backdraft,"['Chicago', 'Sherlock Holmes and the Secret Weapon', 'Dick Tracy', 'Shiner', 'Romeo Is Bleeding']"
2991,The Fisher King,"['Better Living', 'The Proprietor', 'Slaves of New York', 'Peggy Sue Got Married', 'Paris, France']"
2992,The River,"['Babe: Pig in the City', 'Whistle Down the Wind', 'The Grapes of Wrath', 'Signs', 'Places in the Heart']"
2993,Country,"['About Schmidt', 'The Secret Lives of Dentists', 'Enemies: A Love Story', 'Honeysuckle Rose', ""Spencer's Mountain""]"
2994,Places in the Heart,"['One Crazy Summer', 'Acts of Worship', 'Benji: Off the Leash!', 'Yours, Mine and Ours', 'Parenthood']"
2995,"'night, Mother","['The Proprietor', 'Slaves of New York', 'Kal Ho Naa Ho', 'Foreign Student', 'Possible Loves']"
2996,End of Days,"['Prince of Darkness', 'Inferno', 'Hello, Dolly!', 'The Exterminator', 'Money Train']"
2997,Toy Story 2,"['Toy Story', 'The Million Dollar Duck', 'Toys', 'Sweet Nothing', 'Honeysuckle Rose']"
2998,Flawless,"['Executive Suite', '...All the Marbles', 'Song of the Thin Man', 'Travels with My Aunt', 'It Runs in the Family']"
2999,Miss Julie,"['The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'A Boy Called Hate', 'Diebinnen']"
3000,Ride with the Devil,"['Love Me Tender', 'The Red Badge of Courage', 'Gone with the Wind', 'Divine Intervention', 'The Horseman on the Roof']"
3001,Tumbleweeds,"['Not Without My Daughter', 'The Claim', 'Sweet Bird of Youth', 'Lovely & Amazing', 'The Long Kiss Goodnight']"
3002,A Bay of Blood,"['Torso', 'Halloween', 'The Stepfather', 'Cheerleader Camp', 'Homicidal']"
3003,The Distinguished Gentleman,"[""I'm All Right Jack"", 'Scrooge', 'I Married a Strange Person!', 'Dr. T and the Women', 'The Cookout']"
3004,The Hitch-Hiker,"['Dark Passage', 'Crossfire', 'The Hitcher', 'Deathtrap', 'Chronicles']"
3005,Santa Fe Trail,"['The Red Badge of Courage', 'Chisum', 'Any Which Way You Can', 'Divine Intervention', 'Full Metal Jacket']"
3006,Lauderdale,"['Phat Beach', 'Dog Park', 'Mr. Wonderful', ""Ferris Bueller's Day Off"", 'Pursuit of Happiness']"
3007,Agnes Browne,"['The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'A Boy Called Hate', 'Diebinnen']"
3008,The End of the Affair,"['Commandments', 'Intersection', 'Heaven Can Wait', '40 Days and 40 Nights', 'Modern Romance']"
3009,The End of the Affair,"['Snow days', 'A Boy Called Hate', 'The Girl', 'Poison Ivy: The New Seduction', 'Dracula']"
3010,Holy Smoke!,"['Tank Girl', 'Citizen Ruth', 'Bruno', 'Society', 'Rosenstrasse']"
3011,A Map of the World,"['Divine Intervention', 'Ordinary Sinner', 'After Dark, My Sweet', 'The Proprietor', 'Slaves of New York']"
3012,Sweet and Lowdown,"['Lulu on the Bridge', 'Went to Coney Island on a Mission from God... Be Back by Five', ""Mockingbird Don't Sing"", 'American Splendor', 'The Proprietor']"
3013,The Bonfire of the Vanities,"['Life with Father', ""I'll Never Forget What's'isname"", 'The Truman Show', 'How I Killed My Father', 'Stardust Memories']"
3014,Broadway Damage,"[""L'associé"", 'Snow days', 'A Boy Called Hate', 'If You Only Knew', 'Pie in the Sky']"
3015,Daddy-Long-Legs,"['Great Expectations', 'Pastoral Symphony', 'Mesmerized', 'The Proprietor', 'Slaves of New York']"
3016,Go West,"['Rancho Deluxe', 'A Hole in the Head', 'Red River', 'My Cousin Vinny', 'Benji: Off the Leash!']"
3017,Grand Illusion,"['The Great Escape', 'The Rack', 'Escape to Victory', 'Stalag 17', 'Von Richthofen and Brown']"
3018,The Great Santini,"[""That's Life!"", 'Heartbreak Ridge', 'The Proprietor', 'Slaves of New York', 'Star Maps']"
3019,The James Dean Story,"['Sweet Nothing', 'Fahrenhype 9/11', 'Song of the South', 'Harry and Tonto', 'P.S. Your Cat Is Dead!']"
3020,The Sea Wolves,"['Death Ship', 'Sink the Bismarck!', 'Morituri', 'Exodus', 'Captain Horatio Hornblower R.N.']"
3021,Stealing Home,"['Honeysuckle Rose', 'Sweet Nothing', 'Till Human Voices Wake Us', 'How to Get Ahead in Advertising', 'Lost Embrace']"
3022,Tarzan the Fearless,"['Tarzan, the Ape Man', 'Tarzan and the Lost City', 'Party Girl', 'The Dreamlife of Angels', 'The Emerald Forest']"
3023,Three Ages,"['Snow days', 'Bartleby', 'Love Finds Andy Hardy', 'The Inkwell', 'Romance']"
3024,The Two Jakes,"['Murder on the Orient Express', 'Enemies: A Love Story', 'Salton Sea', 'The Cheap Detective', 'City By The Sea']"
3025,U2: Rattle and Hum,"['Madonna: Truth or Dare', 'Buena Vista Social Club', 'The Rolling Stones: Gimme Shelter', 'ABBA - The Movie', 'Masked and Anonymous']"
3026,Hell in the Pacific,"['Midway', 'Farewell to the King', 'The Fighting Seabees', 'A Self-Made Hero', 'Tora! Tora! Tora!']"
3027,The Glass Bottom Boat,"['Snow days', 'A Hole in the Head', 'Buddy Boy', 'Harriet the Spy', 'Horse Feathers']"
3028,Cradle Will Rock,"['The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'Diebinnen', 'The Eddy Duchin Story']"
3029,Deuce Bigalow: Male Gigolo,"[""What's New Pussycat?"", 'Kabhi Khushi Kabhie Gham', 'Raining Stones', 'Honeysuckle Rose', 'How to Get Ahead in Advertising']"
3030,The Green Mile,"[""Monster's Ball"", 'Mr. North', 'Broken Wings', 'Inside', 'True Crime']"
3031,The Cider House Rules,"['Follow Me, Boys!', 'Charly', 'Possible Loves', 'The Low Down', 'Spellbound']"
3032,Diamonds,"['Punch-Drunk Love', 'Congo', 'The Proprietor', 'Slaves of New York', 'The Maltese Falcon']"
3033,The War Zone,"['The Proprietor', 'Slaves of New York', 'Napoleon Dynamite', 'One Crazy Summer', 'New Waterford Girl']"
3034,The Bat Whispers,"['The Girl', 'Lady in a Cage', 'The First Great Train Robbery', 'The Proprietor', 'Slaves of New York']"
3035,The Last Picture Show,"['The Proprietor', 'Slaves of New York', 'Ordinary Sinner', 'Our Town', 'Raggedy Man']"
3036,The 7th Voyage of Sinbad,"['The Golden Voyage of Sinbad', 'The Magic Sword', 'The Thief of Bagdad', 'Spy Kids 2: The Island of Lost Dreams', 'Attack of the Crab Monsters']"
3037,Blood on the Sun,"['Midway', 'Tora! Tora! Tora!', 'Hell in the Pacific', 'Destination Tokyo', 'Back to Bataan']"
3038,Anna and the King,"['The Girl', 'A Summer Place', 'Zebrahead', 'Snow days', 'A Man and a Woman']"
3039,Bicentennial Man,"['Runaway', 'I, Robot', 'Short Circuit', 'Heartbeeps', 'Patlabor: The Movie']"
3040,Stuart Little,"['Stuart Little 2', 'The Fox and the Hound', 'Once Upon a Forest', 'An American Tail', 'An American Tail: Fievel Goes West']"
3041,The Emperor and the Assassin,"['The Fifth Musketeer', 'Executive Action', 'Azumi', 'Hero', 'The Desert Fox: The Story of Rommel']"
3042,Fantasia 2000,"['Melody Time', 'Make Mine Music', 'Fantasia', 'Fun & Fancy Free', 'Steamboat Willie']"
3043,Magnolia,"['The Proprietor', 'Slaves of New York', 'The Greatest Story Ever Told', 'Permanent Vacation', 'Und keiner weint mir nach']"
3044,Onegin,"[""Jason's Lyric"", 'Lucas', 'The Innocent', 'Splendor in the Grass', ""L'eclisse""]"
3045,Simpatico,"['Get Carter', 'Only Angels Have Wings', 'Nice Guys Sleep Alone', 'Angie', 'Play It to the Bone']"
3046,Topsy-Turvy,"['Joseph and the Amazing Technicolor Dreamcoat', 'The Apple', 'Pennies from Heaven', 'FM', 'Schultze Gets the Blues']"
3047,The Alley Cats,"['Under The Domim Tree', 'The Proprietor', 'Slaves of New York', 'Zebrahead', 'The Clock']"
3048,Boiling Point,"['Kiss of Death', 'The Professional', 'To Live and Die in L.A.', 'Nothing to Lose', 'One Good Cop']"
3049,Brenda Starr,"['F/X2', 'Nothing Sacred', 'Saturday Night and Sunday Morning', 'The Front Page', 'A Handful of Dust']"
3050,Carnal Knowledge,"['All Over Me', 'Take Care of My Cat', 'Possible Worlds', 'Storefront Hitchcock', 'Telling You']"
3051,Easy Rider,"['Went to Coney Island on a Mission from God... Be Back by Five', 'The Proprietor', 'Slaves of New York', 'The Harder They Come', 'Masked and Anonymous']"
3052,The Falcon and the Snowman,"['Buddy Boy', 'At Close Range', 'The Girl', 'The Great Locomotive Chase', ""Jason's Lyric""]"
3053,Hi-Yo Silver,"['A Boy Called Hate', 'Meet the Deedles', 'The Legend of the Lone Ranger', 'Arrowhead', 'The Lone Ranger']"
3054,Room at the Top,"['Here Comes Mr. Jordan', 'The Time of Your Life', ""L'eclisse"", 'A Place in the Sun', ""My Boss's Daughter""]"
3055,Ulysses,"['A Self-Made Hero', 'Never Die Alone', 'Tarzan and the Lost City', 'Jason and the Argonauts', 'Leningrad Cowboys Meet Moses']"
3056,Any Given Sunday,"['Blue Chips', 'Horse Feathers', 'Ali', 'Eddie', 'Crash Dive']"
3057,Man on the Moon,"['Snow days', 'Limelight', 'Annie Hall', 'The Girl', 'Margaret Cho: Notorious C.H.O.']"
3058,Galaxy Quest,"['Cabbage Soup', 'Inseminoid', 'This Island Earth', 'It Conquered the World', 'Nowhere']"
3059,The Talented Mr. Ripley,"['The Godfather: Part III', 'Striking Distance', 'Kabhi Khushi Kabhie Gham', 'Mystery Date', 'Honeysuckle Rose']"
3060,Next Friday,"['In Old California', 'Friday', 'The Great Outdoors', 'The Prize', 'Mystery Date']"
3061,The Hurricane,"['The Boxer', 'Black Cloud', 'Ali', 'Triumph of the Spirit', 'Out for a Kill']"
3062,Angela's Ashes,"['Dear Frankie', 'Benji: Off the Leash!', 'The Story of the Last Chrysanthemum', 'The Inheritance', 'Blank Check']"
3063,Play It to the Bone,"['I Shot a Man in Vegas', 'Rocky IV', ""The Best Man's Wedding"", 'Shampoo', 'Sex & the Other Man']"
3064,Titus,"['Macbeth', 'Richard III', 'Richard III', 'Henry V', 'Tromeo & Juliet']"
3065,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","['Stoked: The Rise And Fall Of Gator', ""It's All True"", 'Fahrenhype 9/11', 'The Eyes of Tammy Faye', 'F for Fake']"
3066,The Third Miracle,"['The Proprietor', 'Slaves of New York', 'To Kill a Priest', 'Home Room', 'Und keiner weint mir nach']"
3067,Montana,"['Mad Dog Time', 'Stark Raving Mad', 'Homegrown', 'Sex & the Other Man', 'Lovely & Amazing']"
3068,Snow Falling on Cedars,"['Enemies: A Love Story', 'Buddy Boy', 'The Girl', 'Midway', 'Ghosts of Mississippi']"
3069,"Girl, Interrupted","['Ice Castles', 'Things to Come', 'Cool World', 'A Walk on the Moon', 'Baise-moi']"
3070,Trans,"['Whatever It Takes', 'Warriors of Virtue', 'The Dust Factory', 'Johns', 'Wrongfully Accused']"
3071,The Life and Times of Hank Greenberg,"['Honeysuckle Rose', 'Raining Stones', 'Benji: Off the Leash!', 'The Inheritance', 'Sweet Nothing']"
3072,My Dog Skip,"['The Reivers', 'Brighton Beach Memoirs', 'Shiloh', 'Benji: Off the Leash!', 'The Adventures of Huckleberry Finn']"
3073,Supernova,"['Death Ship', 'Desperate Hours', 'The Black Hole', 'The Thin Man Goes Home', 'Children of the Damned']"
3074,The Quarry,"['I as in Icarus', 'Executive Action', 'The Big Easy', 'Veronica Guerin', 'Past Midnight']"
3075,The Terrorist,"['The Proprietor', 'Slaves of New York', 'Silent Trigger', 'Dancing in September', 'The Sleepy Time Gal']"
3076,The Way We Were,"['The Girl', 'Snow days', 'The Trip', 'Speechless', 'A Summer Place']"
3077,Tess of the Storm Country,"['The Sum of Us', 'A Night in the Life of Jimmy Reardon', 'A Swedish Love Story', 'Around the Bend', 'Devdas']"
3078,Stalag 17,"['Grand Illusion', 'Escape to Victory', ""Von Ryan's Express"", 'The Young Lions', 'Hell Is for Heroes']"
3079,The Presidio,"['The Big Easy', 'Physical Evidence', 'Frenzy', 'Laura', 'The Long Goodbye']"
3080,Papillon,"['In Hell', ""We're No Angels"", 'Dark Passage', 'Cool Hand Luke', 'The Shawshank Redemption']"
3081,Pal Joey,"['Stardust Memories', 'Just Looking', 'Honeysuckle Rose', 'Pursuit of Happiness', 'Baadasssss!']"
3082,The Last Detail,"['The Proprietor', 'Slaves of New York', 'Two Much', 'The Little Shop of Horrors', 'Paris, France']"
3083,Five Easy Pieces,"['The Secret Lives of Dentists', 'How I Killed My Father', 'The Proprietor', 'Slaves of New York', 'Of Mice and Men']"
3084,Even Dwarfs Started Small,"[""Gray's Anatomy"", 'Dolls', 'Intervista', 'The Kentucky Fried Movie', 'Shadows']"
3085,Dead Calm,"['Death Ship', 'The Girl', 'Red Lights', 'The Proprietor', 'Slaves of New York']"
3086,The Boys from Brazil,"['The Girl', 'The Proprietor', 'Slaves of New York', 'Flatliners', 'The Book of Fate']"
3087,Black Sunday,"['I Married a Witch', 'The Witches', 'Hocus Pocus', 'Häxan', 'Bell, Book and Candle']"
3088,Against All Odds,"['Killing Me Softly', 'Kidnapped', 'Rumble Fish', 'The Girl', 'Charly']"
3089,The Snows of Kilimanjaro,"['White Hunter Black Heart', 'Wings of Courage', 'State Property 2', 'The Mark of Zorro', 'Tarzan and the Lost City']"
3090,National Lampoon's Loaded Weapon 1,"['Breathless', 'Beyond the Valley of the Dolls', 'Foolish', 'High School High', 'The Last Boy Scout']"
3091,The Loves of Carmen,"['The Girl', 'The Proprietor', 'Slaves of New York', 'The Man Who Cried', 'The Way We Were']"
3092,Fast Times at Ridgemont High,"['Pretty Maids All in a Row', 'All I Wanna Do', 'Zapped!', 'The Last American Virgin', 'Dazed and Confused']"
3093,A Cry in the Dark,"['Presumed Innocent', 'The Wrong Man', 'Indian Summer', 'Night Crossing', 'High Roller: The Stu Ungar Story']"
3094,Born to Win,"['Kissing a Fool', 'Intimacy', 'Panic', 'The Late Shift', 'Sweet Nothing']"
3095,Batman: Mask of the Phantasm,"['Batman Beyond: Return of the Joker', 'Batman & Mr. Freeze: SubZero', 'Batman Returns', 'Batman Forever', 'A Summer Place']"
3096,American Flyers,"['Mac', 'Honeysuckle Rose', 'Next of Kin', 'P.S. Your Cat Is Dead!', 'Raining Stones']"
3097,Voyage of the Damned,"['La Cucaracha', 'The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'A Boy Called Hate']"
3098,Vampyros Lesbos,"['The Addiction', 'Martin', 'Anguish', 'Trilogy of Terror', 'House of Dark Shadows']"
3099,A Star Is Born,"['What Price Hollywood?', 'S.O.B.', 'The Day of the Locust', 'Easy Riders, Raging Bulls', 'A Star Is Born']"
3100,Poison,"['Civil Brand', 'Dil Se..', 'House of Dark Shadows', 'Trilogy of Terror', 'Prison']"
3101,Pacific Heights,"['Dark Passage', 'Panic', 'Gorky Park', 'Follow Me, Boys!', 'House']"
3102,Night Tide,"['A Slipping Down Life', 'Cherish', 'What Alice Found', 'Love In Bloom', 'The Shrink Is In']"
3103,The Draughtsman's Contract,"['Crows and Sparrows', 'Pride and Prejudice', 'Reservoir Dogs', 'Mogambo', 'People Will Talk']"
3104,Carmen,"['Carmen Jones', 'Valley of the Dolls', 'La traviata', 'Pennies from Heaven', 'Only the Strong Survive']"
3105,A Zed & Two Noughts,"['Enemies: A Love Story', 'Panic', 'The Frighteners', 'Everything about Mustafa', 'Short Time']"
3106,Woman in the Dunes,"['Seven Samurai', '2LDK', 'Town Without Pity', 'Bloody Angels', 'Le Corbeau']"
3107,Down to You,"['Snow days', 'The House of Mirth', 'Love in the Time of Money', 'The Magnificent Ambersons', 'College']"
3108,Hellhounds on My Trail: The Afterlife of Robert Johnson,"['Crossroads', 'Calle 54', 'Only the Strong Survive', 'Lightning in a Bottle', 'Urgh! A Music War']"
3109,"Not Love, Just Frenzy","['Guantanamera', 'Lugares comunes', 'The Girl', 'The Good Girl', 'Foxes']"
3110,Wirey Spindell,"['Crane World', 'I Love You, Alice B. Toklas!', 'Something For Everyone', 'Everything about Mustafa', 'The Low Down']"
3111,Another Man's Poison,"['Used People', 'Empire of Passion', 'The Paradine Case', 'The Bat Whispers', 'Sleeping with the Enemy']"
3112,The Odessa File,"['Torpedo Run', 'Guadalcanal Diary', 'Goodbye, Columbus', 'The Girl', 'Les Miserables']"
3113,The Saphead,"['A Very Natural Thing', 'Peeping Tom', 'Joe Somebody', 'Once Bitten', 'Father of the Bride']"
3114,Seven Chances,"['Snow days', 'The Château', 'The Amazing Quest of Ernest Bliss', 'The Cat and the Canary', 'Snow Dogs']"
3115,Smashing Time,"['Garage Days', 'White Christmas', 'How to Marry a Millionaire', 'How to Succeed in Business Without Really Trying', 'Love In Bloom']"
3116,Train Ride to Hollywood,"['Heartbreak Hotel', 'Six Ways to Sunday', 'Eddie and the Cruisers II: Eddie Lives!', 'Eddie and the Cruisers', 'The Hired Hand']"
3117,Where the Buffalo Roam,"['The Life of Emile Zola', 'The Proprietor', 'Slaves of New York', 'Barbarians at the Gate', 'Two Men Went To War']"
3118,Zachariah,"[""L'associé"", 'Hot Lead & Cold Feet', 'Snow days', 'Destry Rides Again', 'Buck and the Preacher']"
3119,Kestrel's Eye,"['Metallica: Some Kind of Monster', 'Who the Hell Is Juliette?', 'The Legend of Leigh Bowery', 'In the Mirror of Maya Deren', '28 Up']"
3120,Eye of the Beholder,"['Lured', 'Diamonds', 'Sherlock Holmes and the Voice of Terror', 'Where Sleeping Dogs Lie', 'Double Vision']"
3121,Isn't She Great,"['Body and Soul', 'Deconstructing Harry', 'Bamboozled', 'Jack the Bear', 'The Man from Elysian Fields']"
3122,The Big Tease,"['Intervista', 'The Ruling Class', 'Next Friday', 'Inside Deep Throat', 'Romance']"
3123,The Cup,"['Shaolin Soccer', 'LadyBugs', 'Mad About Mambo', 'Escape to Victory', 'Human Highway']"
3124,Santitos,"['The Girl', 'The Turning Point', 'Diamonds', 'Sense and Sensibility', 'Under The Domim Tree']"
3125,Encino Man,"['Snow Day', 'Just One of the Guys', 'Late Bloomers', 'The New Guy', 'Historien om Kim Skov']"
3126,The Goodbye Girl,"['Snow days', 'The Tall Guy', 'Love Finds Andy Hardy', 'Two Girls and a Guy', 'Trial and Error']"
3127,I Am Cuba,"['Bitter Sugar', 'Our Man in Havana', 'Bird of Prey', 'Havana', 'Cuba']"
3128,Malcolm X,"['The Desert Fox: The Story of Rommel', 'The Proprietor', 'Slaves of New York', 'The Life of Emile Zola', 'JFK']"
3129,Sister Act,"['Starstruck', 'Yankee Doodle Dandy', 'The Fighting Temptations', 'Sister Act 2: Back in the Habit', ""There's No Business Like Show Business""]"
3130,Sister Act 2: Back in the Habit,"['Snow Day', 'Joseph and the Amazing Technicolor Dreamcoat', ""Rock 'n' Roll High School"", 'The Apple', 'Sister Act']"
3131,The Hand that Rocks the Cradle,"['Poison Ivy: The New Seduction', 'Darkness', 'Lady Snowblood', 'The Skin Game', 'Desperate Hours']"
3132,Alive,"['Stranded', ""Airport '77"", 'La Cucaracha', 'In Hell', 'The Girl']"
3133,Agnes of God,"['Ghosts of Mississippi', 'Color of Night', 'The Proprietor', 'Slaves of New York', 'Black Rainbow']"
3134,Scent of a Woman,"['I Love You, I Love You Not', 'Rocket Gibraltar', 'The Hanging Garden', 'The Inheritance', 'Carried Away']"
3135,Wayne's World,"[""Wayne's World 2"", 'Blue Hawaii', 'Edtv', 'A Hole in the Head', 'Honeysuckle Rose']"
3136,Wayne's World 2,"['Pure Country', ""Wayne's World"", 'Masked and Anonymous', 'Prey for Rock & Roll', 'S.O.B.']"
3137,A League of Their Own,"['The Bad News Bears', 'The Bad News Bears Go to Japan', 'Talent for the Game', 'Mr. Baseball', 'The Pride of the Yankees']"
3138,Patriot Games,"['Executive Action', 'A Prayer for the Dying', 'Azumi', 'Branded to Kill', 'Naked Weapon']"
3139,The Bodyguard,"['The Girl', 'Love Me Tender', 'Beautiful Joe', 'A Summer Place', 'Old San Francisco']"
3140,Death Becomes Her,"['The Peanut Butter Solution', 'Ernest In The Army', 'Diary of a Mad Black Woman', 'Heartbreak Hospital', 'Ernest Goes to Jail']"
3141,Far and Away,"['Jack & Sarah', 'A Night in the Life of Jimmy Reardon', ""My Boss's Daughter"", 'Tall Tale', '40 Days and 40 Nights']"
3142,Howards End,"['Little Women', 'The Amati Girls', 'Black Beauty', ""Marvin's Room"", 'Sister Helen']"
3143,Singles,"['Snow days', ""A Dog's Will"", 'Sidewalks of New York', 'Housekeeping', 'The Rutles: All You Need Is Cash']"
3144,Twin Peaks: Fire Walk with Me,"['Brigham City', 'Laura', 'Insomnia', 'Mississippi Burning', 'The Trouble with Harry']"
3145,White Men Can't Jump,"['Sunset Park', 'Juwanna Mann', 'Space Jam', 'Hoosiers', 'Celtic Pride']"
3146,Buffy the Vampire Slayer,"['Scream Blacula Scream', 'Vampire in Brooklyn', 'Blade II', 'The Substitute', 'The Forsaken']"
3147,Hard Boiled,"['Exit Wounds', 'Running on Karma', 'Bulletproof', 'The Killer', 'Code of Silence']"
3148,Man Bites Dog,"['Intervista', 'The Low Down', 'P.S. Your Cat Is Dead!', 'Panic', 'Third World Cop']"
3149,El Mariachi,"['Penitentiary II', 'Honeysuckle Rose', 'The Code', 'Sweet Nothing', 'Hard to Kill']"
3150,Stop! Or My Mom Will Shoot,"['Intervista', 'The Young Master', 'The Thin Blue Lie', 'Stardust Memories', ""What's Up, Tiger Lily?""]"
3151,Forever Young,"['Till Human Voices Wake Us', 'Stealing Home', 'Heaven Can Wait', 'Innerspace', 'Lucas']"
3152,The Cutting Edge,"['I Love You Again', '...All the Marbles', 'Another Thin Man', 'Double Wedding', 'Love Finds Andy Hardy']"
3153,Of Mice and Men,"['The Clock', '...All the Marbles', 'Point Blank', 'Of Mice and Men', 'Rich and Famous']"
3154,Bad Lieutenant,"['Night Falls on Manhattan', 'Prince of the City', 'The Big Easy', 'Serpico', 'French Connection II']"
3155,Scream 3,"['Scary Movie 2', 'Anguish', 'Prom Night', 'Identity', 'Scream']"
3156,Single White Female,"['Eyes of Laura Mars', 'Birthday Girl', 'A Boy Called Hate', 'The Girl', 'High Art']"
3157,The Boondock Saints,"['Ronin', 'Taffin', ""Miller's Crossing"", 'Celtic Pride', 'State Property']"
3158,Gun Shy,"['The Man in the Glass Booth', ""What's New Pussycat?"", 'Hide and Seek', 'Run', 'Crazy People']"
3159,Beloved/Friend,"['Two Friends', ""Jason's Lyric"", 'That Obscure Object of Desire', 'Foreign Land', 'Lucie Aubrac']"
3160,Gendernauts: A Journey Through Shifting Identities,"['Inside Deep Throat', 'The Independent', 'The Haunted World of Edward D. Wood, Jr.', 'Cinemania', 'The Kentucky Fried Movie']"
3161,Knockout,"['Star Maps', 'Gladiator 1992', 'A Night in the Life of Jimmy Reardon', 'Penitentiary II', 'The Story of the Last Chrysanthemum']"
3162,The Baby,"['Losing Isaiah', 'Superbabies: Baby Geniuses 2', 'Baby Geniuses', 'Baby Boom', 'The Baby of Mâcon']"
3163,The Brandon Teena Story,"['F for Fake', 'Condo Painting', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'The Agronomist', 'In the Mirror of Maya Deren']"
3164,Different for Girls,"['Starting Over', 'Bootmen', 'Divorcing Jack', 'Forrest Gump', 'Crash Dive']"
3165,Minnie and Moskowitz,"['Manhattan', 'Snow days', 'Prelude to a Kiss', 'Foreign Student', 'Rendezvous in Paris']"
3166,They Might Be Giants,"['The Seven-Per-Cent Solution', 'Without a Clue', 'The Private Life of Sherlock Holmes', 'Young Sherlock Holmes', 'Murder by Decree']"
3167,The Beach,"['The Girl', 'Lord of the Flies', 'The Proprietor', 'Slaves of New York', 'Tainted']"
3168,Snow Day,"['Tart', 'Historien om Kim Skov', 'The Last Man', 'Late Bloomers', 'I Love You, I Love You Not']"
3169,The Tigger Movie,"[""Piglet's Big Movie"", ""Pooh's Heffalump Movie"", 'Watership Down', 'Alice in Wonderland', 'Alice in Wonderland']"
3170,Cotton Mary,"['Under The Domim Tree', 'The Proprietor', 'Slaves of New York', 'The Skin Game', 'The Three Marias']"
3171,Not One Less,"['The Five Venoms', 'Stand and Deliver', 'Fist of Fury', 'Carried Away', 'Up the Down Staircase']"
3172,Soft Toilet Seats,"['Eating Raoul', 'Mulholland Falls', 'Autopsy', 'Opportunity Knocks', 'Dead & Buried']"
3173,Trois,"['Honeysuckle Rose', 'The Visit', 'The Story of the Last Chrysanthemum', 'The Young Philadelphians', 'The Low Down']"
